Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Latitude,Longitude,point
2018/10/25 08:05:00 PM,2018/10/25,20:05,2018,Thursday,2018/10/25 08:05:00 PM,73029407041,730294,180802809,182952277,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Unfounded,BRYANT ST \ LANGTON ST,23876000,Southern,South of Market,6,37.77385630397913,-122.40528580238285,"(37.77385630397913, -122.40528580238285)"
2018/10/25 05:37:00 PM,2018/10/25,17:37,2018,Thursday,2018/10/25 05:37:00 PM,73030707053,730307,180810921,182983122,II,Initial,,07053,Vehicle Impounded,Vehicle Impounded,"Vehicle, Impounded",Cite or Arrest Adult,POST ST \ LARKIN ST,25167000,Central,Tenderloin,6,37.787037946181535,-122.41827098126804,"(37.787037946181535, -122.41827098126804)"
2018/10/25 12:00:00 PM,2018/10/25,12:00,2018,Thursday,2018/10/25 11:16:00 PM,73035107021,730351,180811775,182984292,VI,Vehicle Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,19TH ST \ MISSION ST,24145000,Mission,Mission,9,37.7602353540718,-122.41920604493745,"(37.7602353540718, -122.41920604493745)"
2018/10/25 11:55:00 PM,2018/10/25,23:55,2018,Thursday,2018/10/25 11:57:00 PM,73035907053,730359,180811894,182984412,II,Initial,,07053,Vehicle Impounded,Vehicle Impounded,"Vehicle, Impounded",Open or Active,GALVEZ AVE \ MENDELL ST,20220000,Bayview,Bayview Hunters Point,10,37.739609015794265,-122.3858345399128,"(37.739609015794265, -122.3858345399128)"
2018/10/26 03:44:00 AM,2018/10/26,03:44,2018,Friday,2018/10/26 03:44:00 AM,73038707055,730387,180812052,182990337,VI,Vehicle Initial,,07055,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Recovered, Stolen outside SF",Cite or Arrest Adult,STEINER ST \ POST ST,26614000,Northern,Japantown,5,37.784944005025956,-122.4347299934904,"(37.784944005025956, -122.4347299934904)"
2018/10/26 04:26:00 AM,2018/10/26,04:26,2018,Friday,2018/10/26 04:33:00 AM,73042207020,730422,180812115,182990392,VI,Vehicle Initial,,07020,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen & Recovered",Open or Active,21ST ST \ EUREKA ST,25776000,Mission,Noe Valley,8,37.75554069028438,-122.43776923177623,"(37.75554069028438, -122.43776923177623)"
2018/10/25 01:30:00 PM,2018/10/25,13:30,2018,Thursday,2018/10/26 08:30:00 AM,73043907021,730439,180812347,182990818,VI,Vehicle Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,EL DORADO ST SOUTH \ CHANNEL \ EL DORADO ST,34174000,Southern,Mission Bay,6,37.77250653484488,-122.39393976805779,"(37.77250653484488, -122.39393976805779)"
2018/10/25 08:30:00 PM,2018/10/25,20:30,2018,Thursday,2018/10/26 08:38:00 AM,73044007021,730440,180812381,182990835,VI,Vehicle Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,REVERE AVE \ SILVER AVE,20742000,Bayview,Bayview Hunters Point,10,37.73643307564665,-122.39855590292183,"(37.73643307564665, -122.39855590292183)"
2018/10/25 08:00:00 PM,2018/10/25,20:00,2018,Thursday,2018/10/26 08:37:00 AM,73044107021,730441,180812331,182990442,VI,Vehicle Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,02ND AVE \ LAKE ST,27579000,Richmond,Inner Richmond,2,37.78686575710935,-122.46040419972903,"(37.78686575710935, -122.46040419972903)"
2018/10/25 09:00:00 PM,2018/10/25,21:00,2018,Thursday,2018/10/26 10:47:00 AM,73046407021,730464,180812648,182991327,VI,Vehicle Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,QUESADA AVE \ INDUSTRIAL ST,20757000,Bayview,Bayview Hunters Point,10,37.73930154272799,-122.40195743638334,"(37.73930154272799, -122.40195743638334)"
2018/10/25 05:00:00 PM,2018/10/25,17:00,2018,Thursday,2018/10/26 10:50:00 AM,73046607021,730466,180812654,182991355,VI,Vehicle Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,LIBERTY ST \ GUERRERO ST,33034000,Mission,Mission,8,37.75757006215989,-122.42336725813213,"(37.75757006215989, -122.42336725813213)"
2018/10/25 09:00:00 PM,2018/10/25,21:00,2018,Thursday,2018/10/26 11:25:00 AM,73047307021,730473,180812745,182991509,VI,Vehicle Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,BROOKDALE AVE \ SANTOS ST,20432000,Ingleside,Visitacion Valley,10,37.71193343102876,-122.41876599574823,"(37.71193343102876, -122.41876599574823)"
2018/10/26 12:07:00 PM,2018/10/26,12:07,2018,Friday,2018/10/26 12:07:00 PM,73048807041,730488,180812331,182991408,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,GEARY BLVD \ 09TH AVE,27289000,Richmond,Inner Richmond,1,37.78087971382918,-122.46748765384258,"(37.78087971382918, -122.46748765384258)"
2018/10/26 11:45:00 AM,2018/10/26,11:45,2018,Friday,2018/10/26 11:48:00 AM,73049507055,730495,180812864,182991619,VI,Vehicle Initial,,07055,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Recovered, Stolen outside SF",Cite or Arrest Adult,SUTTER ST \ POLK ST,25208000,Northern,Nob Hill,3,37.78775665157557,-122.42011607573366,"(37.78775665157557, -122.42011607573366)"
2018/10/25 09:00:00 PM,2018/10/25,21:00,2018,Thursday,2018/10/26 10:47:00 AM,73050207023,730502,180812767,182991349,VI,Vehicle Initial,,07023,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Motorcycle",Open or Active,BAKER ST \ FILBERT ST,26891000,Northern,Marina,2,37.79675882926438,-122.44559808030297,"(37.79675882926438, -122.44559808030297)"
2018/10/25 11:00:00 PM,2018/10/25,23:00,2018,Thursday,2018/10/26 08:01:00 AM,73050407020,730504,180812541,182990727,VI,Vehicle Initial,,07020,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen & Recovered",Open or Active,HOLLADAY AVE \ WRIGHT ST,20831000,Ingleside,Bernal Heights,9,37.74736631166639,-122.40510135842212,"(37.74736631166639, -122.40510135842212)"
2018/10/22 01:32:00 PM,2018/10/22,13:32,2018,Monday,2018/10/22 01:32:00 PM,73050907043,730509,180801801,182952021,VS,Vehicle Supplement,,07043,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Motorcycle",Open or Active,POST ST \ LARKIN ST,25167000,Northern,Tenderloin,6,37.787037946181535,-122.41827098126804,"(37.787037946181535, -122.41827098126804)"
2018/10/22 04:20:00 PM,2018/10/22,16:20,2018,Monday,2018/10/22 04:20:00 PM,73052007055,730520,180802423,182952701,VS,Vehicle Supplement,,07055,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Recovered, Stolen outside SF",Open or Active,OCEANVIEW TER \ PALMETTO AVE \ RAMSELL ST \ WORCESTER AVE,22517000,Taraval,Oceanview/Merced/Ingleside,7,37.71068225290847,-122.46616069566643,"(37.71068225290847, -122.46616069566643)"
2018/10/23 06:00:00 PM,2018/10/23,18:00,2018,Tuesday,2018/10/26 02:45:00 PM,73052407021,730524,180813232,182991391,VI,Vehicle Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,BUSH ST \ GOUGH ST,26504000,Northern,Western Addition,2,37.78807018730134,-122.42523650200324,"(37.78807018730134, -122.42523650200324)"
2018/10/25 05:00:00 PM,2018/10/25,17:00,2018,Thursday,2018/10/26 03:52:00 PM,73053307021,730533,180813442,182992572,VI,Vehicle Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,40TH AVE \ CLEMENT ST,27914000,Richmond,Outer Richmond,1,37.78127694472529,-122.50094505198305,"(37.78127694472529, -122.50094505198305)"
2018/10/25 08:45:00 PM,2018/10/25,20:45,2018,Thursday,2018/10/26 04:58:00 PM,73054807021,730548,180813696,182992905,VI,Vehicle Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,ERKSON CT \ POST ST,26807000,Richmond,Japantown,5,37.7842592074325,-122.44015113622639,"(37.7842592074325, -122.44015113622639)"
2018/10/22 06:00:00 PM,2018/10/22,18:00,2018,Monday,2018/10/26 05:09:00 PM,73055407023,730554,180813743,182992972,VI,Vehicle Initial,,07023,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Motorcycle",Open or Active,OAK ST \ OAK ACCESS RD,32860000,Park,Golden Gate Park,5,37.77139018949157,-122.45329513313322,"(37.77139018949157, -122.45329513313322)"
2018/10/26 06:46:00 PM,2018/10/26,18:46,2018,Friday,2018/10/26 06:46:00 PM,73057607045,730576,180783760,,VS,Vehicle Supplement,,07045,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Truck",Open or Active,,,Out of SF,,,,,
2018/10/26 05:40:00 PM,2018/10/26,17:40,2018,Friday,2018/10/26 05:40:00 PM,73057907041,730579,180811775,182993100,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Cite or Arrest Adult,MISSION ST \ 10TH ST,24414000,Southern,South of Market,6,37.77527205930737,-122.4159081801724,"(37.77527205930737, -122.4159081801724)"
2018/10/25 05:00:00 PM,2018/10/25,17:00,2018,Thursday,2018/10/26 07:14:00 PM,73058107021,730581,180814036,182993553,VI,Vehicle Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,OFARRELL ST \ HOLLIS ST,26518000,Northern,Western Addition,5,37.78359535656704,-122.43023750181503,"(37.78359535656704, -122.43023750181503)"
2018/10/26 03:30:00 PM,2018/10/26,15:30,2018,Friday,2018/10/26 03:34:00 PM,73057007055,730570,180813715,182992513,VI,Vehicle Initial,,07055,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Recovered, Stolen outside SF",Cite or Arrest Adult,THOMAS AVE \ HAWES ST,20121000,Bayview,Bayview Hunters Point,10,37.726170778174634,-122.38381036975841,"(37.726170778174634, -122.38381036975841)"
2018/10/26 05:33:00 PM,2018/10/26,17:33,2018,Friday,2018/10/26 05:33:00 PM,73058207041,730582,180811775,182993100,IS,Initial Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Cite or Arrest Adult,MISSION ST \ 10TH ST,24414000,Southern,South of Market,6,37.77527205930737,-122.4159081801724,"(37.77527205930737, -122.4159081801724)"
2018/10/26 08:10:00 PM,2018/10/26,20:10,2018,Friday,2018/10/26 08:10:00 PM,73062007041,730620,180814230,182991634,VI,Vehicle Initial,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,BRYANT ST \ LANGTON ST,23876000,Southern,South of Market,6,37.77385630397913,-122.40528580238285,"(37.77385630397913, -122.40528580238285)"
2018/10/26 10:11:00 PM,2018/10/26,22:11,2018,Friday,2018/10/26 10:11:00 PM,73064107041,730641,180790981,,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,,,Out of SF,,,,,
2018/10/26 05:20:00 PM,2018/10/26,17:20,2018,Friday,2018/10/26 05:23:00 PM,73064207041,730642,180786952,182993062,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,22ND ST \ SAN BRUNO AVE,23731000,Mission,Mission,10,37.75695219279879,-122.40473226851212,"(37.75695219279879, -122.40473226851212)"
2018/10/26 08:00:00 PM,2018/10/26,20:00,2018,Friday,2018/10/27 12:11:00 AM,73065507023,730655,180814672,182994369,VI,Vehicle Initial,,07023,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Motorcycle",Open or Active,JACKSON ST \ LEAVENWORTH ST,25272000,Central,Nob Hill,3,37.79477728502869,-122.41647274733711,"(37.79477728502869, -122.41647274733711)"
2018/10/27 07:00:00 AM,2018/10/27,07:00,2018,Saturday,2018/10/27 07:00:00 AM,73078107041,730781,180812347,183000527,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,BERWICK PL \ HERON ST,24255000,Southern,South of Market,6,37.77478711965587,-122.40830955950402,"(37.77478711965587, -122.40830955950402)"
2018/10/27 08:09:00 AM,2018/10/27,08:09,2018,Saturday,2018/10/27 08:39:00 AM,73078607025,730786,180812648,,VS,Vehicle Supplement,,07025,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Truck",Open or Active,,,Out of SF,,,,,
2018/10/27 06:16:00 AM,2018/10/27,06:16,2018,Saturday,2018/10/27 06:16:00 AM,73078707041,730787,180812381,182990835,VS,Vehicle Supplement,,07041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,BAY SHORE BLVD \ COSGROVE ST,33284000,Bayview,Bayview Hunters Point,9,37.74239176061754,-122.40583815976386,"(37.74239176061754, -122.40583815976386)"
2018/10/27 08:15:00 AM,2018/10/27,08:15,2018,Saturday,2018/10/27 08:15:00 AM,73078907055,730789,180815153,183000864,VI,Vehicle Initial,,07055,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Recovered, Stolen outside SF",Cite or Arrest Adult,MCALLISTER ST \ LARKIN ST,24439000,Tenderloin,Tenderloin,6,37.780470340397024,-122.41694760620521,"(37.780470340397024, -122.41694760620521)"
2018/10/26 10:00:00 PM,2018/10/26,22:00,2018,Friday,2018/10/27 10:00:00 AM,73079307025,730793,180815313,183001183,VI,Vehicle Initial,,07025,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Truck",Open or Active,ANZA ST \ 06TH AVE,27275000,Richmond,Inner Richmond,1,37.779090726308574,-122.46414497098554,"(37.779090726308574, -122.46414497098554)"
2018/10/27 08:35:00 AM,2018/10/27,08:35,2018,Saturday,2018/10/27 08:40:00 AM,73080107021,730801,180815238,183000923,VI,Vehicle Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,VICTORIA ST \ RANDOLPH ST,22520000,Taraval,Oceanview/Merced/Ingleside,11,37.714286975792135,-122.46529972235949,"(37.714286975792135, -122.46529972235949)"
2018/10/26 08:00:00 PM,2018/10/26,20:00,2018,Friday,2018/10/27 09:26:00 AM,73080707021,730807,180815288,183001053,VI,Vehicle Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,FULTON ST \ SHRADER ST,26470000,Park,Lone Mountain/USF,1,37.774970753354275,-122.45300333210426,"(37.774970753354275, -122.45300333210426)"
2018/10/27 05:00:00 AM,2018/10/27,05:00,2018,Saturday,2018/10/27 11:16:00 AM,73081007021,730810,180815482,183001424,VI,Vehicle Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,MALDEN ALY \ HOWARD ST,24541000,Southern,Financial District/South Beach,6,37.787035579181214,-122.39793239233553,"(37.787035579181214, -122.39793239233553)"
2018/10/27 12:20:00 PM,2018/10/27,12:20,2018,Saturday,2018/10/27 12:20:00 PM,73083407046,730834,180815313,183001183,VS,Vehicle Supplement,,07046,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Other Vehicle",Open or Active,FULTON ST \ LA PLAYA,27978000,Richmond,Outer Richmond,1,37.771396030943585,-122.50989475109745,"(37.771396030943585, -122.50989475109745)"
2018/10/27 12:00:00 AM,2018/10/27,00:00,2018,Saturday,2018/10/27 01:50:00 PM,73083907021,730839,180815868,183002013,VI,Vehicle Initial,,07021,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",Open or Active,STOCKTON ST \ BAY ST,25410000,Central,North Beach,3,37.8060277166905,-122.41031084283831,"(37.8060277166905, -122.41031084283831)"
